Pot,Treatment,Crop,08Sep2022,18Sep2022,28Sep2022,08Oct2022
1.0,Same,Chard,,13.8,14.5,15.5
2.0,Same,Chard,11.0,12.3,12.5,14.0
3.0,Same,Chard,13.0,13.5,13.3,13.0
4.0,Pre,Chard,15.0,15.3,15.0,15.4
5.0,Pre,Chard,14.0,14.3,14.5,16.0
6.0,Pre,Chard,15.0,15.0,15.3,15.5
7.0,Mono,Chard,18.0,17.3,17.0,16.5
8.0,Mono,Chard,16.0,16.2,16.5,16.7
9.0,Mono,Chard,16.0,14.0,14.0,
10.0,Same,Clover,15.0,13.0,13.0,
11.0,Same,Clover,12.0,12.0,13.0,13.0
12.0,Same,Clover,12.0,11.0,10.7,10.5
13.0,Pre,Clover,10.0,11.0,11.0,11.0
14.0,Pre,Clover,11.0,12.0,12.0,12.0
15.0,Pre,Clover,11.0,13.0,12.0,12.0
16.0,Mono,Clover,13.0,13.0,13.0,13.0
17.0,Mono,Clover,12.5,13.0,12.0,12.0
18.0,Mono,Clover,12.0,13.0,11.0,11.0
19.0,Mono,Clover,21.0,11.0,10.0,20.0
20.0,Mono,Clover,,22.0,21.0,
,,,,,,
